IPC,ApplicationDate,Region
H02J7/14 | G01R31/36,2013001004,法国
H02J7/14 | G01R31/36,2013001004,法国
B64C25/24 | F16H25/16,2013001004,法国
B64D15/12,2013001007,法国
B64D15/12,2013001007,法国
B64D15/20,2013001007,奥地利
G01R19/00 | B64D15/22 | B64D15/20 | G01B7/06 | G01K13/00 | G08B19/02 | G01B21/08,2013001007,美国
B64D15/20 | G01K13/00 | G01R19/00,2013001007,美国
B64D15/20 | G01B7/06 | G08B19/02,2013001007,欧洲专利局
B64D15/20 | G01B7/06 | G08B19/02,2013001007,欧洲专利局
B64D15/20 | G01B7/06 | G08B19/02,2013001007,世界知识产权组织
B64D15/20 | G01B7/06 | G08B19/02,2013001007,加拿大
B64D15/20 | G01B7/06 | G08B19/02,2013001007,欧洲专利局
B64D15/20 | G01B7/06 | G08B19/02,2013001007,加拿大
B60T17/18 | B60T8/88,2013001007,日本
B60T17/18 | B60T8/88,2013001007,日本
B64D15/20 | G01B7/06 | G08B19/02,2013001007,中国
B64D15/20 | G01B7/06 | G08B19/02,2013001007,巴西
B64D15/20 | G01B7/06 | G08B19/02,2013001007,巴西
G01R31/04,2013001008,日本
F02G3/00,2013001008,美国
G01N | G01N29/44 | G01N29/14,2013001009,韩国
B64D13/06 | B64D13/02,2013001010,欧洲专利局
B64C13/42 | B64C13/50,2013001010,欧洲专利局
G01W1/02,2013001011,俄罗斯
G01W1/02,2013001011,俄罗斯
B64C27/08,2013001011,乌克兰
G01N1/22,2013001011,中国
G01N1/22,2013001011,中国
F04B17/03,2013001014,美国
B64D47/00,2013001015,中国
F02K1/00,2013001016,乌克兰
B60T8/17 | B64C25/42,2013001016,日本
B60T8/17 | B64C25/42,2013001016,日本
H02G3/02,2013001017,俄罗斯
B21J15/38,2013001021,法国
B21J15/38,2013001021,法国
F15D1/00 | B64C23/06,2013001021,中国
B64C27/12,2013001021,奥地利
B64C27/12 | B64C27/82,2013001021,波兰
B64C27/12 | B64C27/82,2013001021,欧洲专利局
B64C27/12 | B64C27/82,2013001021,欧洲专利局
F41F1/00,2013001022,中国
B64D41/00 | H02J1/00 | H02J4/00 | H02J9/06,2013001022,西班牙
B64D41/00,2013001022,奥地利
B64D41/00 | H02J9/06 | H02J1/00 | H02J4/00,2013001022,欧洲专利局
B64D41/00 | H02J9/06 | H02J1/00 | H02J4/00,2013001022,欧洲专利局
H02N | H02N11/00,2013001023,韩国
H04L12/02 | H04L12/10,2013001023,中国
H02K9/00,2013001024,斯洛文尼亚
B64D25/00,2013001024,美国
B64D25/00 | B64D41/00 | H02J9/06 | H02J4/00 | H02J9/00 | H02J1/00,2013001024,美国
B64D41/00 | B64D25/00 | H02J7/34 | H02J9/00,2013001024,加拿大
B64C27/82 | B64C27/78 | B64D27/24 | B64D35/02,2013001024,加拿大
B64C27/82 | B64C27/78 | B64D27/24 | B64D35/02,2013001024,加拿大
H02J1/00 | H02J7/00,2013001025,美国
B64D1/16,2013001025,俄罗斯
B64D27/24,2013001027,中国
F02C9/16,2013001028,美国
H01M8/06 | B64D37/06,2013001029,美国
B64G1/42 | B64G7/00,2013001030,俄罗斯
B64G1/00,2013001030,俄罗斯
G01N31/12,2013001030,中国
G01N31/12,2013001030,中国
F16H25/08 | B64C13/50 | F16H19/02,2013001031,加拿大
H02G3/32 | B64D47/00 | H02G1/06,2013002001,法国
H02G3/32 | B64D47/00 | H02G1/06,2013002001,法国
H02K1/20 | H02K9/00,2013002004,德国
F42B12/00,2013002005,俄罗斯
F42B12/00,2013002005,俄罗斯
F03H1/00 | F02K7/18,2013002007,俄罗斯
F02K7/00,2013002007,俄罗斯
F16H,2013002007,印度
F16H19/04 | B64C13/42 | B64C13/50 | F16H57/00 | F16H57/01,2013002008,美国
F16H19/04,2013002008,美国
B64C27/04 | G05D1/00,2013002009,俄罗斯
H05B3/00,2013002010,美国
B60L1/02 | B32B3/30 | B32B15/20 | B32B27/38 | B32B15/18 | B32B9/04 | B32B9/00 | B64D15/12 | H05B3/22,2013002010,美国
B64C11/30,2013002011,俄罗斯
B64C27/32,2013002011,俄罗斯
B64C27/32,2013002011,俄罗斯
B64C1/36,2013002012,俄罗斯
B64D41/00,2013002012,奥地利
B64D41/00 | B64D33/02 | B64D13/06,2013002012,中国
B64D41/00 | F02C7/32,2013002012,日本
B64D41/00 | F02C7/32,2013002012,日本
B64D33/02 | B64D27/08 | B64D41/00 | B64D13/00,2013002012,美国
B64D41/00 | B64D33/02 | B64D13/06 | B64D13/00 | B64D27/08,2013002012,欧洲专利局
0,2013002012,世界知识产权组织
B64D41/00 | B64D33/02 | B64D13/06,2013002012,世界知识产权组织
B64D41/00 | B64D33/02 | B64D13/06 | B64D13/00 | B64D27/08,2013002012,欧洲专利局
B64D41/00 | B64D13/06 | B64D33/02,2013002012,加拿大
B64D41/00 | B64D13/06 | B64D33/02,2013002012,巴西
F15B15/00,2013002013,俄罗斯
F15B15/22 | F15B11/068,2013002013,俄罗斯
B64C27/82,2013002013,美国
B64D25/08 | B64D10/00,2013002014,俄罗斯
B64C1/14,2013002014,白俄罗斯
B64C13/50 | B64C13/28,2013002017,中国
B64C13/50 | B64C13/28,2013002017,中国
B64C27/82,2013002018,中国
B64C27/82,2013002018,中国
G08B5/36 | B64D47/02 | H01S3/00,2013002019,法国
B64D | B64C | B64C27/82 | B64D41/00 | B64C27/54,2013002019,韩国
B64D27/00,2013002020,德国
G06K19/07,2013002020,世界知识产权组织
B64D31/06 | B64C27/14 | B64C29/00 | B64D27/24 | B64D31/04 | B64C25/56 | B64C27/473 | B64D17/80 | B64D11/06 | B64C25/34 | B64C25/52 | B64C27/08 | B64C39/02,2013002020,美国
B64D31/06 | B64C27/20 | G05D1/08 | B64D25/00 | B64C27/14 | B64C29/00 | B64D27/24 | B64D31/04 | B64C25/56 | B64C27/473 | B64D17/80 | B64D11/06 | B64C25/34 | B64C39/02 | B64C27/08 | B64C25/52,2013002020,美国
B64C27/08 | B64C27/20 | B64C29/00 | G05D1/08,2013002020,欧洲专利局
B64C27/08 | B64C27/20 | B64C29/00 | G05D1/08,2013002020,世界知识产权组织
B64C27/08 | B64C27/20 | B64C29/00 | G05D1/08,2013002020,欧洲专利局
B64C27/08,2013002020,奥地利
F02C7/32 | B64D13/06 | B64D41/00,2013002021,印度
F16D66/00 | F16D55/38,2013002022,德国
B64C25/40,2013002022,世界知识产权组织
0,2013002022,世界知识产权组织
H02K41/025 | F16F7/10 | H02K7/14 | B64C27/00 | H02K16/02 | H02P5/52 | H02K7/04 | G01M1/36 | F16F15/22 | F01D5/02,2013002022,美国
F01D5/02 | H02K7/04 | H02P5/52 | F16F7/10,2013002022,美国
B64F1/06,2013002025,中国
H01B3/47 | H01B7/17,2013002026,法国
H01B3/47 | H01B7/17,2013002026,法国
B60T8/17 | B64C25/42,2013002027,中国
B60T8/17 | B64C25/42,2013002027,中国
B60K6/48 | B64D27/04 | B64D27/24 | B64D35/08,2013002028,西班牙
B60K6/48 | B64D27/04 | B64D27/24 | B64D35/08,2013002028,西班牙
B64C19/00,2013002028,美国
B64F1/00 | E01C17/00,2013002028,白俄罗斯
B64C25/44 | B64D47/00 | F16D66/00,2013002028,加拿大
B64C25/44 | B64D47/00 | F16D66/00,2013002028,加拿大
F16B33/06,2013002028,俄罗斯
G05D3/12 | G05B19/418,2013003001,中国
G01M13/00,2013003001,中国
G01M13/00,2013003001,中国
G05D3/12 | G05B19/418,2013003001,中国
B60T17/22 | B64C25/44 | F16D66/02 | B64C25/42,2013003001,美国
F16D65/28 | F16D55/36 | B60L7/00 | F16D66/00 | F16D66/02 | B60T17/22 | B64C25/42 | B64C25/44 | F16D121/14 | F16D121/24 | F16D125/40 | F16D125/48,2013003001,美国
B64C25/42 | F16D55/36 | F16D66/02 | B60T8/17 | B60T17/22 | F16D121/24,2013003001,巴西
B64C25/42 | F16D55/36 | F16D66/02 | F16D121/24 | B60T8/17 | B60T17/22,2013003001,巴西
B64D1/00 | B64D1/02 | B64D1/16 | B05C19/00 | B05C19/04 | B64C39/02,2013003004,美国
B64D1/00 | B64C19/00,2013003004,美国
B64D41/00,2013003004,欧洲专利局
B64D41/00,2013003004,欧洲专利局
F03D3/04,2013003005,俄罗斯
F41H1/02,2013003005,俄罗斯
G01W1/08 | G01N15/06,2013003005,印度
B64D35/08 | F01B21/00,2013003005,美国
F01B21/04 | B64D27/24 | F01B21/00 | B64D35/08 | B60W20/00 | B64C1/00 | B64C27/00 | B64D27/02,2013003005,美国
B64D35/08 | F01B21/00 | B64D27/24 | B60W20/00 | B64D27/02,2013003005,美国
B60W20/00,2013003005,美国
B64D45/00,2013003007,中国
B64D15/16,2013003008,美国
B64C27/22 | B64C27/08,2013003011,哈萨克斯坦
G01S3/02,2013003012,俄罗斯
G01S11/04,2013003012,俄罗斯
0,2013003014,美国
B64C25/40 | B64D41/00,2013003014,西班牙
B64C25/40,2013003014,奥地利
B60R16/03 | F02N11/08 | H02J4/00 | H02J9/06,2013003014,美国
B60R16/03 | B64C25/40 | H02J9/06 | H02J4/00 | B64D41/00 | F02N11/08,2013003014,美国
B64C25/40 | B64D41/00,2013003014,欧洲专利局
B64C25/40 | B64D41/00,2013003014,加拿大
B64C25/40 | B64D41/00,2013003014,世界知识产权组织
B64C25/40 | B64D41/00,2013003014,欧洲专利局
