node,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,core_number,closeness_centrality
B64C29/00,0.07450860886789577,0.024562325872279685,0.16676105449030001,0.009813920403861505,31,0.3363267115859758
B64D27/24,0.192747219259485,0.17005392524099167,0.2771831488426353,0.027499327256701338,31,0.37843066438752293
B64C27/22,0.016608258418406217,0.000705367122649686,0.057792619798110526,0.0010581576811047341,31,0.2890053290449936
B64C39/02,0.09782111839097973,0.0672471063732698,0.16613665113516904,0.008870915131016044,31,0.34146475511788077
A62C37/50,0.00015236934328813042,0.0,0.0001686752822086584,3.538399639591052e-05,1,0.20519077764240037
A62C3/08,0.006856620447965868,0.0013515552276267815,0.01445455693790894,0.000480904521742018,18,0.27240101254766164
B64F1/34,0.005942404388237087,0.001639449038476016,0.017493843772076998,0.0003471372585221641,23,0.27054938083634844
H02K7/18,0.04113972268779521,0.006575230031317033,0.10333520962679309,0.0027121228024441332,31,0.30755667769310646
B64C39/08,0.012037178119762303,0.000315990886471502,0.048163724780696845,0.0007905938547193091,31,0.28180756884705294
B60L11/02,0.0038092335822032604,4.0793580329076495e-05,0.01577757240773736,0.00011524061345786434,19,0.2714070861350879
B60L50/10,0.016151150388541823,0.0011133936711384363,0.05342742717204467,0.0007326905531235225,31,0.2840658402307894
B64C25/44,0.013713240895931737,0.004823246042026096,0.018723003063897493,0.001208237651217945,23,0.28003355341642905
B60T8/17,0.011580070089897912,0.0024875231041730094,0.020181000568457765,0.0012851811742408431,23,0.27809412025045355
B64C25/46,0.002590278835898217,1.085242233549823e-05,0.0011544508316330897,0.00020152653049449894,9,0.21696474279187108
G05D1/00,0.024074356239524607,0.0026856516796868136,0.06691981107042032,0.0016118671342991717,31,0.2939671957244185
B64C27/08,0.06719488039006552,0.024094337175180162,0.13815391250326448,0.005583534271686109,31,0.32607859619162055
B64D27/02,0.08593630961450556,0.024568900625022334,0.18322912767780394,0.009210564855346914,31,0.3286768320178486
B64D41/00,0.07298491543501447,0.033724275352756315,0.14780892981202995,0.0060725452646949885,31,0.3326039925235596
G01C23/00,0.007008989791253999,0.00020486141455718096,0.02746181659808663,0.00037976381163202545,26,0.2776176986053842
B64C11/00,0.03565442632942252,0.007352426675175854,0.09830897483418066,0.0020338256187289543,31,0.3140492570602436
B64C27/52,0.01432271826908426,0.0002715555085556763,0.05630715421369686,0.0012176293811421146,31,0.2872670886993605
B64C29/02,0.016760627761694347,0.0007687250857062114,0.06252116483491373,0.0011970112598508587,31,0.2911939202930561
G01S7/40,0.0007618467164406521,0.00016572236978821793,0.0013677224219489296,7.412927345293791e-05,3,0.23608843675562724
G01C25/00,0.001066585403016913,0.0009322066675942596,0.0009788839958460845,0.0001465269865208743,3,0.2351707093400228
H02B1/20,0.0030473868657626083,0.0007067283155061876,0.006867156694407307,0.0001944952566726432,8,0.2672980068339558
G01R31/08,0.0038092335822032604,0.0005323863250272865,0.011442987083729162,0.0001810586842839383,15,0.2795676935308934
G05B19/042,0.004418710955355782,0.0017355847021881888,0.011215674906226944,0.0002664365819699161,16,0.2782305412071621
B60T13/74,0.00716135913454213,0.000132100010426046,0.0034836703158586143,0.0007178207619191245,16,0.22929976076442288
B60T8/32,0.0038092335822032604,8.410741321530686e-05,0.006452429923966629,0.000279416964707796,16,0.24915620591985063
C08J7/00,0.0,0.0,1.6703848685293523e-23,2.4047710658183856e-05,0,0.0
B64D35/02,0.03321651683681243,0.0025570577477548235,0.10387820260671098,0.002467905154190567,31,0.29906298879557075
B64C27/12,0.027426481791863473,0.002344430643068292,0.08953119345067048,0.002049491494811918,31,0.2977481242867904
B64D31/06,0.03291177815023617,0.0017304477049506133,0.10245294428797286,0.002456708121163235,31,0.2965997951370375
B64C27/32,0.017217735791558737,0.0008160669413318038,0.06619902854665989,0.0010368004192968482,31,0.2912686908464758
B64D35/04,0.015541673015389303,0.0005900072026887084,0.06562250745281398,0.0008335055497051517,31,0.29698806558491947
F02N11/04,0.008075575194270912,0.0007824842978836472,0.033712816317141105,0.0002977174148138185,30,0.2751764003885257
H01B11/00,0.0012189547463050433,0.00027779829988167906,0.008417262571103805,4.907030196343927e-05,8,0.27127727286897046
B64C25/42,0.017674843821423127,0.006248693108187925,0.02892619724479616,0.0015037350339527605,27,0.2872852770676459
F02C7/262,0.005790035044948956,0.00022223444596166942,0.028229504247531092,0.00041818967049247737,28,0.2701305986787164
B64C27/04,0.009751637970440347,0.0010940911459335816,0.04157279666148807,0.0004866839299038097,31,0.29003986614717464
B64D35/08,0.02925491391132104,0.0015193020806191658,0.0961883964532876,0.0029252414148835124,31,0.2939671957244185
F02C3/10,0.008227944537559043,0.0001889388830356734,0.03453555064330862,0.0005493297726204551,29,0.27336930148249183
F02C3/107,0.004418710955355782,3.842277531750911e-06,0.02194559031612355,0.00028892654284242445,25,0.2673610079551234
F02C7/275,0.010513484686880998,0.000453944423577971,0.03609784772329549,0.0006468835618841298,30,0.2743113273687443
F02C7/36,0.0260551577022703,0.001896320669581463,0.07433050318328414,0.0022850188155467306,31,0.28750371727324797
F02C9/42,0.007008989791253999,0.0001223509518809543,0.03084151453839561,0.00046239028941634665,29,0.26980933971614435
B64C27/20,0.02239829346335517,0.002009440927157743,0.07387441610573248,0.0014135181010380177,31,0.2993392047767779
B64C3/00,0.009446899283864087,0.0007058439873207128,0.04025933954502055,0.00039610330536189514,31,0.28959558756742404
B64C13/50,0.02910254456803291,0.010367389180514715,0.05688480315569149,0.0020007759431092623,31,0.29544105130918086
H02J1/10,0.010056376657016607,0.0005631246469590497,0.03367270109171225,0.0007326035382242651,28,0.2840658402307894
H02H7/26,0.0030473868657626083,6.140954776327169e-05,0.01022347435536445,0.00021708279071589394,12,0.2667323300221268
B64C39/12,0.007008989791253999,2.98833052317783e-05,0.030298552452603218,0.0006625380164413305,28,0.2749762842255863
B64C15/12,0.005637665701660825,1.8398138495302865e-05,0.028005537091671702,0.00026013903903115835,28,0.2741290276707588
B64C9/08,0.0035044948956269996,1.1839103273852902e-05,0.013792289190324656,0.00024178583182909872,17,0.2681827333770554
B64D31/14,0.012951394179491085,0.0010870003012844027,0.05584752108218639,0.0006744553559682082,31,0.28529826873782693
B64D13/06,0.02194118543349078,0.010274653696607672,0.05230056962158252,0.0012026837367103906,31,0.3022303114638247
H02M1/10,0.001066585403016913,1.83196949244303e-05,0.0024832201383356723,7.405634482892114e-05,6,0.2404676276435635
B64C13/18,0.01097059271674539,0.00041225074845884397,0.03516085215071541,0.0005874994687882005,27,0.28465393136803013
H01M8/04007,0.008685052567423433,7.933840379057764e-05,0.03005772409102293,0.0003907386832084655,24,0.27658541091169764
H01M8/04701,0.00365686423891513,6.118257057252012e-06,0.013519385254904091,0.00013064607798584583,19,0.26859549316322734
H01M8/04746,0.009446899283864087,0.000376667229502153,0.02872085673473681,0.0005566512366504005,22,0.281597695401626
H01M8/0432,0.004723449641932043,2.609298061118673e-05,0.016109169570084424,0.00020602843329842898,19,0.2736495787953923
H01M8/0444,0.0031997562090507387,7.521828333674898e-07,0.011138740553761527,0.00012164840219265152,19,0.26568589214231175
H01M8/249,0.0031997562090507387,7.521828333674898e-07,0.011138740553761527,0.00012164840219265152,19,0.26568589214231175
H01M8/00,0.009751637970440347,0.00045256411787073447,0.032051592749357025,0.00048430631308095666,25,0.2807786922033663
H01M8/04858,0.008075575194270912,0.00012052310338715928,0.021949433332928474,0.0004939409807281382,21,0.2726629208585061
H01M8/04313,0.0038092335822032604,9.155655115890902e-06,0.014826940664222878,0.00016150161314161036,19,0.2716670857386181
H01M8/04694,0.0027426481791863475,1.1922342446717752e-06,0.009177174177170263,0.00011180837929087613,16,0.266137818406147
H01M8/04992,0.0024379094926100867,2.9236613991079966e-05,0.007752258814110835,9.622291749689797e-05,14,0.26484845120280176
B64D47/08,0.030473868657626083,0.008830320194302266,0.069669697404866,0.0018616990154541788,31,0.3110779971209653
F16H3/72,0.001066585403016913,8.839792131587982e-06,0.003314290716739023,9.635553469666919e-05,6,0.22872183012432704
B64C27/06,0.00716135913454213,0.0005298556297578047,0.025000648715859837,0.00022332170187413974,27,0.28433285286416843
F41H11/02,0.001828432119457565,0.0024810349929853194,0.002250131657555451,0.0003442408464027859,4,0.24381427544365392
