,申请年,受理局,处理后的IPC主分类号,申请数量
1,2013,世界知识产权组织,A47L1,2
2,2013,世界知识产权组织,B60F5,1
3,2013,世界知识产权组织,B60K6,1
4,2013,世界知识产权组织,B64C1,3
5,2013,世界知识产权组织,B64C19,1
6,2013,世界知识产权组织,B64C25,4
7,2013,世界知识产权组织,B64C27,2
8,2013,世界知识产权组织,B64C29,3
9,2013,世界知识产权组织,B64C31,1
10,2013,世界知识产权组织,B64C39,1
11,2013,世界知识产权组织,B64D15,3
12,2013,世界知识产权组织,B64D27,5
13,2013,世界知识产权组织,B64D3,1
14,2013,世界知识产权组织,B64D31,1
15,2013,世界知识产权组织,B64D41,4
16,2013,世界知识产权组织,B64F5,1
17,2013,世界知识产权组织,F02C3,1
18,2013,世界知识产权组织,F02C7,1
19,2013,世界知识产权组织,F02K1,1
20,2013,世界知识产权组织,F03B3,2
21,2013,世界知识产权组织,F03G3,1
22,2013,世界知识产权组织,G01C21,1
23,2013,世界知识产权组织,G06K19,1
24,2013,世界知识产权组织,H02J3,1
25,2013,世界知识产权组织,H02J7,1
26,2013,世界知识产权组织,H02K5,1
27,2013,世界知识产权组织,H04B3,1
28,2013,中国,A47B21,1
29,2013,中国,A62C3,3
30,2013,中国,A63H27,4
31,2013,中国,A63H33,1
32,2013,中国,B01J23,1
33,2013,中国,B21J5,1
34,2013,中国,B23H5,2
35,2013,中国,B29C70,1
36,2013,中国,B60L7,2
37,2013,中国,B60T13,1
38,2013,中国,B60T8,4
39,2013,中国,B62K1,1
40,2013,中国,B63C9,1
41,2013,中国,B63H1,1
42,2013,中国,B64B1,4
43,2013,中国,B64C1,4
44,2013,中国,B64C13,4
45,2013,中国,B64C21,1
46,2013,中国,B64C25,13
47,2013,中国,B64C27,5
48,2013,中国,B64C29,1
49,2013,中国,B64C3,1
50,2013,中国,B64C31,2
51,2013,中国,B64C39,3
52,2013,中国,B64D11,5
53,2013,中国,B64D13,1
54,2013,中国,B64D15,5
55,2013,中国,B64D27,9
56,2013,中国,B64D31,2
57,2013,中国,B64D33,1
58,2013,中国,B64D37,1
59,2013,中国,B64D41,5
60,2013,中国,B64D45,1
61,2013,中国,B64D47,3
62,2013,中国,B64F1,4
63,2013,中国,B64F5,10
64,2013,中国,B64G1,4
65,2013,中国,B64G7,1
66,2013,中国,B65G57,2
67,2013,中国,B66F3,1
68,2013,中国,F01K27,1
69,2013,中国,F02C7,3
70,2013,中国,F02K1,1
71,2013,中国,F02N15,1
72,2013,中国,F04D29,1
73,2013,中国,F15B21,1
74,2013,中国,F15D1,1
75,2013,中国,F16D13,3
76,2013,中国,F16J15,1
77,2013,中国,F16L3,1
78,2013,中国,F21S43,1
79,2013,中国,F21S8,2
80,2013,中国,F25B1,2
81,2013,中国,F41A31,1
82,2013,中国,F41F1,1
83,2013,中国,F42B19,1
84,2013,中国,G01B7,1
85,2013,中国,G01D21,1
86,2013,中国,G01L5,1
87,2013,中国,G01M13,3
88,2013,中国,G01M9,2
89,2013,中国,G01N1,2
90,2013,中国,G01N25,2
91,2013,中国,G01N31,2
92,2013,中国,G01R29,2
93,2013,中国,G01R31,9
94,2013,中国,G01S7,2
95,2013,中国,G03B17,1
96,2013,中国,G05B17,2
